date,occu_perc,total_sales
2018-07-15,11.059306451612905,8888137.082258064
2018-07-16,11.37960876369327,10411729.250391236
2018-07-17,40.41404255319149,18521509.899433427
2018-07-18,14.512714723926381,13802545.981595092
2018-07-19,19.31293768545994,19570857.553412464
2018-07-20,23.628783382789315,25002907.992581602
2018-07-21,14.318869426751592,11400589.143312102
2018-07-22,12.24374203821656,10429378.977707006
2018-07-23,11.615637254901962,10085759.79248366
2018-07-24,41.65834074074074,19733082.957037035
2018-07-25,14.412126623376624,12987167.193181818
2018-07-26,19.329319620253163,19031083.8528481
2018-07-27,24.169126984126983,23627412.671428572
2018-07-28,13.87838550247117,10320403.609555189
2018-07-29,11.648795986622073,9290928.071906354
2018-07-30,11.593105802047782,10099189.399317406
2018-07-31,43.78633333333333,20787242.419696968
2018-08-01,14.86516393442623,13588770.483606558
